unicode,char,ver,frequence
U+6297,抗,1.1,3533
U+6298,折,1.1,22871
U+6299,抙,1.1,5
U+629B,抛,1.1,24
U+629C,抜,1.1,23
U+629D,抝,1.1,331
U+629E,択,1.1,175
U+62A6,抦,1.1,43
U+62A7,抧,1.1,381
U+62A8,抨,1.1,281
U+62A9,抩,1.1,2
U+62AA,抪,1.1,12
U+62AB,披,1.1,15055
U+62AC,抬,1.1,702
U+62AD,抭,1.1,1
U+62AE,抮,1.1,1
U+62AF,抯,1.1,18
U+62B0,抰,1.1,9
U+62B1,抱,1.1,11198
U+62B2,抲,1.1,49
U+62B3,抳,1.1,2325
U+62B4,抴,1.1,189
U+62B5,抵,1.1,7126
U+62B6,抶,1.1,50
U+62B7,抷,1.1,9
U+62B8,抸,1.1,1
U+62B9,抹,1.1,2157
U+62BA,抺,1.1,17
U+62BB,抻,1.1,1
U+62BC,押,1.1,3283
U+62BD,抽,1.1,4869
U+62BE,抾,1.1,9
U+62BF,抿,1.1,4
U+62C0,拀,1.1,6
U+62C1,拁,1.1,11
U+62C2,拂,1.1,31895
U+62C4,拄,1.1,38218
U+62C5,担,1.1,248
U+62C6,拆,1.1,1574
U+62C7,拇,1.1,1041
U+62C8,拈,1.1,47572
U+62C9,拉,1.1,4335
U+62CA,拊,1.1,1927
U+62CB,拋,1.1,6326
U+62CC,拌,1.1,392
U+62CD,拍,1.1,7302
U+62CE,拎,1.1,9
U+62CF,拏,1.1,15428
U+62D0,拐,1.1,78
U+62D1,拑,1.1,10
U+62D2,拒,1.1,4854
U+62D3,拓,1.1,4056
U+62D4,拔,1.1,23196
U+62D5,拕,1.1,1266
U+62D6,拖,1.1,3154
U+62D7,拗,1.1,923
U+62D8,拘,1.1,25375
U+62D9,拙,1.1,6424
U+62DA,拚,1.1,189
U+62DB,招,1.1,22729
U+62DC,拜,1.1,45882
U+62DD,拝,1.1,2
U+62E0,拠,1.1,105
U+62EA,拪,1.1,172
U+62EB,拫,1.1,25
U+62EC,括,1.1,5785
U+62ED,拭,1.1,3206
U+62EE,拮,1.1,175
U+62EF,拯,1.1,2564
U+62F1,拱,1.1,3508
U+62F2,拲,1.1,8
U+62F3,拳,1.1,13466
U+62F4,拴,1.1,157
U+62F6,拶,1.1,4164
U+62F7,拷,1.1,606
U+62F8,拸,1.1,7
U+62F9,拹,1.1,6
U+62FA,拺,1.1,7
U+62FB,拻,1.1,6
U+62FC,拼,1.1,754
U+62FD,拽,1.1,3786
U+62FE,拾,1.1,10424
U+62FF,拿,1.1,5888
U+6300,挀,1.1,6
U+6301,持,1.1,294933
U+6302,挂,1.1,7232
U+6303,挃,1.1,553
U+6304,挄,1.1,13
U+6305,挅,1.1,31
U+6307,指,1.1,133009
U+6308,挈,1.1,2004
U+6309,按,1.1,23923
U+630A,挊,1.1,194
U+630B,挋,1.1,20
U+630C,挌,1.1,258
U+630D,挍,1.1,2691
U+630E,挎,1.1,16
U+630F,挏,1.1,3
U+6310,挐,1.1,480
U+6311,挑,1.1,4006
U+6312,挒,1.1,11
U+6313,挓,1.1,87
U+6314,挔,1.1,8
U+6315,挕,1.1,72
U+6316,挖,1.1,210
U+6317,挗,1.1,8
U+6319,挙,1.1,60
U+631B,挛,1.1,2
U+631F,挟,1.1,6
U+6327,挧,1.1,5
U+6328,挨,1.1,1403
U+6329,挩,1.1,12
U+632A,挪,1.1,114
U+632B,挫,1.1,1383
U+632C,挬,1.1,5
U+632D,挭,1.1,36
U+632E,挮,1.1,181
U+632F,振,1.1,14858
U+6330,挰,1.1,4
U+6331,挱,1.1,56
U+6332,挲,1.1,277
U+6333,挳,1.1,3
U+6334,挴,1.1,7
U+6335,挵,1.1,36
U+6336,挶,1.1,3
U+6339,挹,1.1,1271
U+633A,挺,1.1,2781
U+633B,挻,1.1,157
U+633C,挼,1.1,105
U+633D,挽,1.1,3868
U+633E,挾,1.1,2784
U+6340,捀,1.1,4
U+6341,捁,1.1,20
U+6342,捂,1.1,54
U+6343,捃,1.1,495
U+6344,捄,1.1,333
U+6345,捅,1.1,48
U+6346,捆,1.1,89
U+6347,捇,1.1,14
U+6348,捈,1.1,5
U+6349,捉,1.1,15770
U+634A,捊,1.1,126
U+634B,捋,1.1,1026
U+634C,捌,1.1,853
U+634D,捍,1.1,882
U+634E,捎,1.1,214
U+634F,捏,1.1,1770
U+6350,捐,1.1,6399
U+6352,捒,1.1,184
U+6353,捓,1.1,7
U+6354,捔,1.1,785
U+6355,捕,1.1,4909
U+6356,捖,1.1,19
U+6357,捗,1.1,10
U+6358,捘,1.1,22
U+6359,捙,1.1,10
U+635A,捚,1.1,4
U+6360,捠,1.1,3
U+6365,捥,1.1,74
U+6366,捦,1.1,28
U+6367,捧,1.1,5003
U+6368,捨,1.1,177244
U+6369,捩,1.1,1089
U+636A,捪,1.1,4
U+636B,捫,1.1,1851
U+636C,捬,1.1,36
U+636D,捭,1.1,142
U+636E,据,1.1,240
U+636F,捯,1.1,4
U+6371,捱,1.1,224
U+6372,捲,1.1,2935
U+6374,捴,1.1,1086
U+6375,捵,1.1,5
U+6376,捶,1.1,1616
U+6377,捷,1.1,4764
U+6378,捸,1.1,1
U+6379,捹,1.1,1
U+637A,捺,1.1,6048
U+637B,捻,1.1,1937
U+637C,捼,1.1,109
U+637D,捽,1.1,103
U+637E,捾,1.1,33
U+637F,捿,1.1,219
U+6380,掀,1.1,3363
U+6381,掁,1.1,263
U+6382,掂,1.1,10
U+6383,掃,1.1,14812
U+6384,掄,1.1,129
U+6386,掆,1.1,6
U+6387,掇,1.1,1752
U+6388,授,1.1,63427
U+6389,掉,1.1,11382
U+638A,掊,1.1,236
U+638C,掌,1.1,38556
U+638D,掍,1.1,49
U+638E,掎,1.1,70
U+638F,掏,1.1,45
U+6390,掐,1.1,932
U+6391,掑,1.1,3
U+6392,排,1.1,9635
U+6394,掔,1.1,70
U+6395,掕,1.1,19
U+6396,掖,1.1,1461
U+6397,掗,1.1,37
U+6398,掘,1.1,7195
U+6399,掙,1.1,135
U+639A,掚,1.1,2
U+639B,掛,1.1,5916
U+639C,掜,1.1,55
U+639D,掝,1.1,15
U+639E,掞,1.1,93
U+639F,掟,1.1,10
U+63A0,掠,1.1,2701
U+63A1,採,1.1,9858
U+63A2,探,1.1,8472
U+63A3,掣,1.1,3090
U+63A4,掤,1.1,6
U+63A5,接,1.1,36233
U+63A6,掦,1.1,1355
U+63A7,控,1.1,1662
U+63A8,推,1.1,39462
U+63A9,掩,1.1,9957
U+63AA,措,1.1,4729
U+63AB,掫,1.1,32
U+63AC,掬,1.1,1694
U+63AD,掭,1.1,4
U+63AE,掮,1.1,1
U+63AF,掯,1.1,10
U+63B0,掰,1.1,1
U+63B6,掶,1.1,1
U+63BD,掽,1.1,16
U+63BE,掾,1.1,240
U+63C0,揀,1.1,16840
U+63C1,揁,1.1,53
U+63C2,揂,1.1,1
U+63C3,揃,1.1,69
U+63C4,揄,1.1,392
U+63C5,揅,1.1,4
U+63C6,揆,1.1,1936
U+63C7,揇,1.1,2
U+63C8,揈,1.1,32
U+63C9,揉,1.1,388
U+63CA,揊,1.1,3
U+63CB,揋,1.1,1
U+63CC,揌,1.1,117
U+63CD,揍,1.1,15
U+63CE,揎,1.1,54
U+63CF,描,1.1,1883
U+63D0,提,1.1,325538
U+63D1,揑,1.1,1987
U+63D2,插,1.1,4508
U+63D3,揓,1.1,1
U+63D4,揔,1.1,3495
U+63D5,揕,1.1,89
U+63D6,揖,1.1,2997
U+63D7,揗,1.1,31
U+63D8,揘,1.1,1
U+63D9,揙,1.1,7
U+63DA,揚,1.1,34105
U+63DB,換,1.1,8030
U+63DC,揜,1.1,368
U+63DD,揝,1.1,1
U+63DE,揞,1.1,52
U+63DF,揟,1.1,16
U+63E0,揠,1.1,42
U+63E1,握,1.1,5953
U+63E2,揢,1.1,3
U+63E3,揣,1.1,2400
U+63E4,揤,1.1,8
U+63E5,揥,1.1,119
U+63E6,揦,1.1,4
U+63E8,揨,1.1,13
U+63E9,揩,1.1,2003
U+63EA,揪,1.1,40
U+63EB,揫,1.1,4
U+63EC,揬,1.1,258
U+63ED,揭,1.1,9338
U+63EE,揮,1.1,8034
U+63F0,揰,1.1,17
U+63F1,揱,1.1,1
U+63F2,揲,1.1,664
U+63F3,揳,1.1,48
U+63F4,援,1.1,2845
U+63F5,揵,1.1,9338
U+63F6,揶,1.1,86
U+63F8,揸,1.1,11
U+63F9,揹,1.1,7
U+63FA,揺,1.1,4
U+6402,搂,1.1,1
U+6403,搃,1.1,21
U+6404,搄,1.1,2
U+6406,搆,1.1,4875
U+6409,搉,1.1,206
U+640A,搊,1.1,657
U+640B,搋,1.1,362
U+640C,搌,1.1,26
U+640D,損,1.1,30770
U+640E,搎,1.1,11
U+640F,搏,1.1,3409
U+6410,搐,1.1,69
U+6412,搒,1.1,130
U+6413,搓,1.1,289
U+6414,搔,1.1,882
U+6415,搕,1.1,202
U+6416,搖,1.1,13750
U+6417,搗,1.1,676
U+6418,搘,1.1,192
U+6419,搙,1.1,11
U+641A,搚,1.1,1
U+641B,搛,1.1,3
U+641C,搜,1.1,3940
U+641E,搞,1.1,120
U+6420,搠,1.1,31
U+6421,搡,1.1,6
U+6422,搢,1.1,290
U+6423,搣,1.1,89
U+6424,搤,1.1,16
U+6425,搥,1.1,1615
U+6426,搦,1.1,759
U+6427,搧,1.1,22
U+6428,搨,1.1,162
U+6429,搩,1.1,1021
U+642A,搪,1.1,253
U+642C,搬,1.1,1469
U+642D,搭,1.1,2880
U+642E,搮,1.1,11
U+642F,搯,1.1,674
U+6430,搰,1.1,53
U+6431,搱,1.1,10
U+6433,搳,1.1,2
U+6434,搴,1.1,136
U+6435,搵,1.1,331
U+6436,搶,1.1,454
U+6437,搷,1.1,7
U+6438,搸,1.1,43
U+6439,搹,1.1,31
U+643A,携,1.1,2577
U+643C,搼,1.1,21
U+643D,搽,1.1,178
U+643E,搾,1.1,69
U+643F,搿,1.1,13
U+6440,摀,1.1,12
U+6442,摂,1.1,261
U+6447,摇,1.1,3
U+6449,摉,1.1,5
U+644B,摋,1.1,33
U+644C,摌,1.1,1
U+644D,摍,1.1,1
U+644E,摎,1.1,32
U+644F,摏,1.1,8
U+6450,摐,1.1,144
U+6451,摑,1.1,1142
U+6452,摒,1.1,198
U+6453,摓,1.1,38
U+6454,摔,1.1,28
U+6455,摕,1.1,6
U+6456,摖,1.1,18
U+6457,摗,1.1,14
U+6458,摘,1.1,3512
U+6459,摙,1.1,83
U+645A,摚,1.1,42
U+645B,摛,1.1,294
U+645C,摜,1.1,72
U+645D,摝,1.1,756
U+645E,摞,1.1,1
U+645F,摟,1.1,354
U+6460,摠,1.1,978
U+6461,摡,1.1,31
U+6462,摢,1.1,1
U+6463,摣,1.1,177
U+6465,摥,1.1,8
U+6467,摧,1.1,11811
U+6468,摨,1.1,14
U+6469,摩,1.1,282361
U+646B,摫,1.1,2
U+646C,摬,1.1,4
U+646D,摭,1.1,685
U+646E,摮,1.1,2
U+646F,摯,1.1,224
U+6470,摰,1.1,16
U+6471,摱,1.1,9
U+6472,摲,1.1,3
U+6473,摳,1.1,430
U+6474,摴,1.1,178
U+6475,摵,1.1,435
U+6476,摶,1.1,3788
U+6477,摷,1.1,78
U+6478,摸,1.1,5269
U+6479,摹,1.1,791
U+647A,摺,1.1,552
U+647B,摻,1.1,117
U+647C,摼,1.1,8
U+647D,摽,1.1,2346
U+647E,摾,1.1,64
U+6480,撀,1.1,6
U+6481,撁,1.1,3
U+6482,撂,1.1,1
U+6485,撅,1.1,242
U+6486,撆,1.1,17
U+6487,撇,1.1,407
U+6488,撈,1.1,1360
U+648B,撋,1.1,1
U+648C,撌,1.1,1
U+648E,撎,1.1,17
U+648F,撏,1.1,13
U+6490,撐,1.1,1591
U+6491,撑,1.1,657
U+6492,撒,1.1,5207
U+6493,撓,1.1,1877
U+6495,撕,1.1,1213
U+6496,撖,1.1,3
U+6497,撗,1.1,572
U+6498,撘,1.1,28
U+6499,撙,1.1,95
U+649A,撚,1.1,459
U+649B,撛,1.1,6
U+649C,撜,1.1,76
U+649D,撝,1.1,460
U+649E,撞,1.1,4598
U+649F,撟,1.1,102
U+64A0,撠,1.1,7
U+64A1,撡,1.1,13
U+64A2,撢,1.1,67
U+64A3,撣,1.1,68
U+64A4,撤,1.1,1097
U+64A5,撥,1.1,11559
U+64A6,撦,1.1,175
U+64A8,撨,1.1,49
U+64A9,撩,1.1,1878
U+64AB,撫,1.1,7715
U+64AC,撬,1.1,4
U+64AD,播,1.1,6373
U+64AE,撮,1.1,3562
U+64B0,撰,1.1,19898
U+64B1,撱,1.1,4
U+64B2,撲,1.1,4419
U+64B3,撳,1.1,1
U+64B4,撴,1.1,1
U+64B6,撶,1.1,26
U+64BB,撻,1.1,803
U+64BC,撼,1.1,1427
U+64BD,撽,1.1,96
U+64BE,撾,1.1,1492
U+64BF,撿,1.1,5759
U+64C0,擀,1.1,10
U+64C1,擁,1.1,8179
U+64C2,擂,1.1,222
U+64C3,擃,1.1,2
U+64C4,擄,1.1,78
U+64C5,擅,1.1,2181
U+64C6,擆,1.1,23
U+64C7,擇,1.1,35596
U+64C8,擈,1.1,102
U+64C9,擉,1.1,191
U+64CA,擊,1.1,24364
U+64CB,擋,1.1,178
U+64CD,操,1.1,6582
U+64CE,擎,1.1,5308
U+64CF,擏,1.1,6
U+64D0,擐,1.1,674
U+64D1,擑,1.1,36
U+64D2,擒,1.1,2691
U+64D4,擔,1.1,14922
U+64D5,擕,1.1,775
U+64D6,擖,1.1,13
U+64D7,擗,1.1,790
U+64D8,擘,1.1,2054
U+64D9,擙,1.1,4
U+64DA,據,1.1,57285
U+64DB,擛,1.1,4
U+64DF,擟,1.1,6
U+64E0,擠,1.1,332
U+64E1,擡,1.1,1512
U+64E2,擢,1.1,873
U+64E3,擣,1.1,1312
U+64E5,擥,1.1,93
U+64E6,擦,1.1,486
U+64E7,擧,1.1,185
U+64E8,擨,1.1,2
U+64E9,擩,1.1,45
U+64EA,擪,1.1,45
U+64EB,擫,1.1,4
U+64EC,擬,1.1,27539
U+64ED,擭,1.1,204
U+64EE,擮,1.1,5
U+64EF,擯,1.1,6860
U+64F0,擰,1.1,5
U+64F1,擱,1.1,89
U+64F2,擲,1.1,13744
U+64F3,擳,1.1,122
U+64F4,擴,1.1,1917
U+64F5,擵,1.1,11
U+64F7,擷,1.1,377
U+64F8,擸,1.1,38
U+64F9,擹,1.1,4
U+64FA,擺,1.1,1623
U+64FB,擻,1.1,1673
U+64FC,擼,1.1,3
U+64FD,擽,1.1,27
U+64FE,擾,1.1,8787
U+64FF,擿,1.1,894
U+6500,攀,1.1,8517
U+6501,攁,1.1,2
U+6502,攂,1.1,54
U+6503,攃,1.1,342
U+6504,攄,1.1,205
U+6505,攅,1.1,36
U+6506,攆,1.1,11
U+6508,攈,1.1,11
U+6509,攉,1.1,139
U+650A,攊,1.1,290
U+650B,攋,1.1,3
U+650D,攍,1.1,6
U+650E,攎,1.1,80
U+650F,攏,1.1,157
U+6510,攐,1.1,1
U+6511,攑,1.1,2
U+6513,攓,1.1,10
U+6514,攔,1.1,1383
U+6515,攕,1.1,18
U+6516,攖,1.1,284
U+6517,攗,1.1,2
U+6518,攘,1.1,1801
U+6519,攙,1.1,638
U+651A,攚,1.1,2
U+651B,攛,1.1,659
U+651C,攜,1.1,2919
U+651D,攝,1.1,196408
U+651E,攞,1.1,4692
U+651F,攟,1.1,12
U+6520,攠,1.1,7
U+6521,攡,1.1,73
U+6522,攢,1.1,2307
U+6523,攣,1.1,543
U+6524,攤,1.1,302
U+6525,攥,1.1,26
U+6526,攦,1.1,28
U+6527,攧,1.1,211
U+6529,攩,1.1,27
U+652A,攪,1.1,2136
U+652B,攫,1.1,724
U+652C,攬,1.1,4053
U+652E,攮,1.1,1
U+652F,支,1.1,92317
U+6530,攰,1.1,3
U+6531,攱,1.1,24
U+6532,攲,1.1,69
U+6534,攴,1.1,342
U+6535,攵,1.1,1203
U+6536,收,1.1,39137
U+6537,攷,1.1,945
U+6538,攸,1.1,2186
U+6539,改,1.1,36692
U+653A,攺,1.1,17
U+653B,攻,1.1,3972
U+653D,攽,1.1,5
U+653E,放,1.1,90158
U+653F,政,1.1,17571
U+6540,敀,1.1,461
U+6541,敁,1.1,5
U+6542,敂,1.1,29
U+6543,敃,1.1,9
U+6544,敄,1.1,33
U+6545,故,1.1,1815462
U+6546,敆,1.1,1
U+6547,敇,1.1,164
U+6548,效,1.1,4890
U+6549,敉,1.1,34
U+654A,敊,1.1,3
U+654D,敍,1.1,101
U+654E,敎,1.1,8
U+654F,敏,1.1,5695
U+6551,救,1.1,43355
U+6552,敒,1.1,10
U+6553,敓,1.1,13
U+6554,敔,1.1,49
U+6555,敕,1.1,6463
U+6556,敖,1.1,357
U+6557,敗,1.1,13926
U+6558,敘,1.1,23473
U+6559,教,1.1,401777
U+655C,敜,1.1,11
U+655D,敝,1.1,1511
U+655E,敞,1.1,1062
U+6562,敢,1.1,31727
U+6563,散,1.1,68301
U+6566,敦,1.1,7491
U+6567,敧,1.1,85
U+6568,敨,1.1,2
U+656A,敪,1.1,4
U+656B,敫,1.1,170
U+656C,敬,1.1,90476
U+656D,敭,1.1,55
U+6570,数,1.1,355
U+6571,敱,1.1,8
U+6572,敲,1.1,5597
U+6573,敳,1.1,4
U+6574,整,1.1,10825
U+6575,敵,1.1,12415
U+6576,敶,1.1,15
U+6577,敷,1.1,19525
U+6578,數,1.1,186572
U+657A,敺,1.1,190
U+657B,敻,1.1,439
U+657F,敿,1.1,1
U+6581,斁,1.1,140
U+6582,斂,1.1,6703
U+6583,斃,1.1,637
U+6584,斄,1.1,12
U+6585,斅,1.1,53
U+6586,斆,1.1,270
U+6587,文,1.1,473205
U+6588,斈,1.1,133
U+6589,斉,1.1,18
U+658A,斊,1.1,9
U+658B,斋,1.1,27
U+658C,斌,1.1,825
U+658D,斍,1.1,201
U+6590,斐,1.1,467
U+6591,斑,1.1,2394
U+6592,斒,1.1,49
U+6594,斔,1.1,1
U+6595,斕,1.1,136
U+6596,斖,1.1,84
U+6597,斗,1.1,12066
U+6599,料,1.1,13064
U+659A,斚,1.1,10
U+659B,斛,1.1,2993
U+659C,斜,1.1,3637
U+659D,斝,1.1,37
U+659F,斟,1.1,1339
U+65A0,斠,1.1,76
U+65A1,斡,1.1,1251
U+65A2,斢,1.1,5
U+65A4,斤,1.1,5543
U+65A5,斥,1.1,14015
U+65A6,斦,1.1,5
U+65A7,斧,1.1,4537
U+65A8,斨,1.1,1
U+65AA,斪,1.1,5
U+65AB,斫,1.1,6547
U+65AC,斬,1.1,8523
U+65AD,断,1.1,8054
U+65AE,斮,1.1,50
U+65AF,斯,1.1,100523
U+65B0,新,1.1,83294
U+65B2,斲,1.1,267
U+65B3,斳,1.1,8
U+65B5,斵,1.1,479
U+65B7,斷,1.1,301492
U+65B8,斸,1.1,170
U+65B9,方,1.1,501888
U+65BB,斻,1.1,2
U+65BC,於,1.1,1271817
U+65BD,施,1.1,195390
U+65BE,斾,1.1,163
U+65BF,斿,1.1,27
U+65C0,旀,1.1,15
U+65C1,旁,1.1,8954
U+65C2,旂,1.1,206
U+65C3,旃,1.1,12205
U+65C4,旄,1.1,167
U+65C5,旅,1.1,3628
U+65C6,旆,1.1,116
U+65C8,旈,1.1,29
U+65C9,旉,1.1,1
U+65CA,旊,1.1,2
U+65CB,旋,1.1,18456
U+65CC,旌,1.1,1747
U+65CD,旍,1.1,81
U+65CE,旎,1.1,42
U+65CF,族,1.1,23156
U+65D0,旐,1.1,43
U+65D2,旒,1.1,342
U+65D3,旓,1.1,4
U+65D6,旖,1.1,24
U+65D7,旗,1.1,2935
U+65D8,旘,1.1,4
U+65D9,旙,1.1,61
U+65DB,旛,1.1,3472
U+65DC,旜,1.1,3
U+65DD,旝,1.1,2
U+65DF,旟,1.1,45
U+65E0,无,1.1,49609
U+65E1,旡,1.1,9478
U+65E2,既,1.1,196387
U+65E3,旣,1.1,2
U+65E4,旤,1.1,11
U+65E5,日,1.1,422864
U+65E6,旦,1.1,16807
U+65E7,旧,1.1,193
U+65E8,旨,1.1,56739
U+65E9,早,1.1,23069
U+65EC,旬,1.1,22759
U+65ED,旭,1.1,1931
U+65EF,旯,1.1,1
U+65F0,旰,1.1,142
U+65F1,旱,1.1,3353
U+65F2,旲,1.1,25
U+65F3,旳,1.1,9
U+65F4,旴,1.1,90
U+65F5,旵,1.1,537
U+65F6,时,1.1,4
U+65F9,旹,1.1,398
U+65FA,旺,1.1,506
U+65FB,旻,1.1,2274
U+65FC,旼,1.1,19
U+65FD,旽,1.1,291
U+65FE,旾,1.1,2
U+65FF,旿,1.1,15
U+6600,昀,1.1,14
U+6602,昂,1.1,2505
U+6603,昃,1.1,169
U+6604,昄,1.1,1
U+6605,昅,1.1,3
U+6606,昆,1.1,4426
U+6607,昇,1.1,14186
U+6608,昈,1.1,3
U+6609,昉,1.1,673
U+660A,昊,1.1,727
U+660B,昋,1.1,4
U+660C,昌,1.1,14990
U+660D,昍,1.1,2
U+660E,明,1.1,1221130
U+660F,昏,1.1,14553
U+6610,昐,1.1,4
U+6611,昑,1.1,7
U+6612,昒,1.1,1
U+6613,易,1.1,71716
U+6614,昔,1.1,68000
U+6615,昕,1.1,457
U+6616,昖,1.1,4
U+6617,昗,1.1,11
U+661A,昚,1.1,10
U+661B,昛,1.1,1
U+661C,昜,1.1,84
U+661D,昝,1.1,83
U+661E,昞,1.1,141
U+661F,星,1.1,28231
U+6620,映,1.1,8910
U+6621,昡,1.1,19
U+6622,昢,1.1,20
U+6623,昣,1.1,3
U+6624,昤,1.1,5
U+6625,春,1.1,48847
U+6626,昦,1.1,8
U+6627,昧,1.1,108916
U+6628,昨,1.1,10400
U+662A,昪,1.1,17
U+662B,昫,1.1,41
U+662C,昬,1.1,945
U+662D,昭,1.1,16429
U+662F,是,1.1,2552113
U+6630,昰,1.1,122
U+6631,昱,1.1,1301
U+6632,昲,1.1,3
U+6633,昳,1.1,178
U+6634,昴,1.1,454
U+6635,昵,1.1,574
U+6636,昶,1.1,281
U+6637,昷,1.1,46
U+6638,昸,1.1,1
U+6639,昹,1.1,12
U+663A,昺,1.1,438
U+663B,昻,1.1,71
U+663E,显,1.1,23
U+6641,晁,1.1,382
U+6642,時,1.1,867878
U+6643,晃,1.1,2388
U+6644,晄,1.1,19
U+6645,晅,1.1,14
U+6648,晈,1.1,248
U+6649,晉,1.1,24771
U+664A,晊,1.1,10
U+664B,晋,1.1,26
U+664C,晌,1.1,151
U+664D,晍,1.1,4
U+664F,晏,1.1,2932
U+6650,晐,1.1,10
U+6651,晑,1.1,5
U+6652,晒,1.1,459
U+6657,晗,1.1,5
U+6658,晘,1.1,2
U+6659,晙,1.1,37
U+665A,晚,1.1,17505
U+665B,晛,1.1,14
U+665C,晜,1.1,21
U+665D,晝,1.1,19922
U+665E,晞,1.1,559
U+665F,晟,1.1,639
U+6660,晠,1.1,6
U+6661,晡,1.1,1278
U+6662,晢,1.1,123
U+6663,晣,1.1,88
U+6664,晤,1.1,1896
U+6665,晥,1.1,8
U+6666,晦,1.1,7829
U+6667,晧,1.1,215
U+6668,晨,1.1,8172
U+666A,晪,1.1,1
U+666B,晫,1.1,8
U+666C,晬,1.1,80
U+666D,晭,1.1,1
U+666E,普,1.1,146832
U+666F,景,1.1,19649
U+6670,晰,1.1,323
U+6671,晱,1.1,24
U+6672,晲,1.1,22
U+6673,晳,1.1,119
U+6674,晴,1.1,6745
U+6676,晶,1.1,1221
U+6677,晷,1.1,482
U+6678,晸,1.1,7
U+6679,晹,1.1,107
U+667A,智,1.1,608854
U+667B,晻,1.1,65
U+667C,晼,1.1,16
U+667E,晾,1.1,23
U+6680,暀,1.1,63
U+6681,暁,1.1,18
U+6684,暄,1.1,883
U+6685,暅,1.1,75
U+6686,暆,1.1,4
U+6687,暇,1.1,5724
U+6688,暈,1.1,598
U+6689,暉,1.1,4548
U+668C,暌,1.1,148
U+668D,暍,1.1,84
U+668E,暎,1.1,1212
U+668F,暏,1.1,66
U+6690,暐,1.1,283
U+6691,暑,1.1,6221
U+6692,暒,1.1,13
U+6693,暓,1.1,1
U+6694,暔,1.1,2
U+6695,暕,1.1,109
U+6696,暖,1.1,5167
U+6697,暗,1.1,28633
U+6698,暘,1.1,487
U+669C,暜,1.1,147
U+669D,暝,1.1,698
U+669F,暟,1.1,20
U+66A0,暠,1.1,286
U+66A1,暡,1.1,4
U+66A2,暢,1.1,7784
U+66A6,暦,1.1,13
U+66A8,暨,1.1,2370
U+66A9,暩,1.1,1
U+66AA,暪,1.1,25
U+66AB,暫,1.1,16712
U+66AC,暬,1.1,3
U+66AD,暭,1.1,12
U+66AE,暮,1.1,10749
U+66AF,暯,1.1,32
U+66B1,暱,1.1,127
U+66B2,暲,1.1,27
U+66B4,暴,1.1,11062
U+66B5,暵,1.1,42
U+66B7,暷,1.1,2
U+66B8,暸,1.1,125
U+66B9,暹,1.1,3002
U+66BA,暺,1.1,2
U+66BB,暻,1.1,4
U+66BC,暼,1.1,1
U+66BE,暾,1.1,135
U+66BF,暿,1.1,8
U+66C0,曀,1.1,672
U+66C3,曃,1.1,1
U+66C4,曄,1.1,482
U+66C5,曅,1.1,16
U+66C6,曆,1.1,7468
U+66C7,曇,1.1,43621
U+66C8,曈,1.1,61
U+66C9,曉,1.1,24667
U+66CC,曌,1.1,19
U+66CE,曎,1.1,8
U+66CF,曏,1.1,43
U+66D0,曐,1.1,4
U+66D1,曑,1.1,1
U+66D2,曒,1.1,100
U+66D3,曓,1.1,2
U+66D4,曔,1.1,2
U+66D5,曕,1.1,27
U+66D6,曖,1.1,224
U+66D7,曗,1.1,3
U+66D8,曘,1.1,17
U+66D9,曙,1.1,727
U+66DA,曚,1.1,388
U+66DB,曛,1.1,287
U+66DC,曜,1.1,9926
U+66DD,曝,1.1,1008
U+66DE,曞,1.1,1
U+66E0,曠,1.1,11565
U+66E1,曡,1.1,44
U+66E3,曣,1.1,4
U+66E4,曤,1.1,101
U+66E5,曥,1.1,4
U+66E6,曦,1.1,548
U+66E7,曧,1.1,1
U+66E8,曨,1.1,42
U+66E9,曩,1.1,13151
U+66EA,曪,1.1,4
U+66EB,曫,1.1,2
U+66EC,曬,1.1,1364
U+66ED,曭,1.1,4
U+66EE,曮,1.1,11
U+66EF,曯,1.1,125
U+66F0,曰,1.1,890254
U+66F2,曲,1.1,31883
U+66F3,曳,1.1,6826
U+66F4,更,1.1,159302
U+66F5,曵,1.1,1
U+66F6,曶,1.1,9
U+66F7,曷,1.1,4049
U+66F8,書,1.1,118965
U+66F9,曹,1.1,20608
U+66FC,曼,1.1,17651
U+66FD,曽,1.1,72
U+66FE,曾,1.1,80463
U+66FF,替,1.1,4713
U+6700,最,1.1,115116
U+6701,朁,1.1,35
U+6702,朂,1.1,42
U+6703,會,1.1,210526
U+6705,朅,1.1,479
U+6707,朇,1.1,6
U+6708,月,1.1,230288
U+6709,有,1.1,2512043
U+670A,朊,1.1,1
U+670B,朋,1.1,5786
U+670D,服,1.1,44969
U+670E,朎,1.1,11
U+670F,朏,1.1,100
U+6710,朐,1.1,11
U+6712,朒,1.1,8
U+6713,朓,1.1,36
U+6714,朔,1.1,4450
U+6715,朕,1.1,5568
U+6716,朖,1.1,6
U+6717,朗,1.1,12686
U+6718,朘,1.1,11
U+6719,朙,1.1,19
U+671A,朚,1.1,20
U+671B,望,1.1,63758
U+671C,朜,1.1,8
U+671D,朝,1.1,49950
U+671E,朞,1.1,196
U+671F,期,1.1,37541
U+6720,朠,1.1,2
U+6721,朡,1.1,4
U+6722,朢,1.1,144
U+6723,朣,1.1,40
U+6726,朦,1.1,630
U+6727,朧,1.1,435
